Period,Code,Sex,age group,Life Expectancy (LE)_,LE Lower CI_,LE Upper CI_,TransformationType
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,30-34,53.49614,53.47085,53.52143,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,35-39,48.60281,48.57787,48.62776,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,40-44,43.75534,43.73082,43.77985,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,45-49,38.96938,38.94534,38.99343,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,50-54,34.26131,34.23781,34.28481,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,55-59,29.67189,29.64915,29.69463,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,60-64,25.22883,25.20708,25.25058,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,65-69,20.94524,20.9244,20.96608,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,70-74,16.85946,16.83967,16.87925,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,75-79,13.08684,13.06833,13.10535,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,80-84,9.72244,9.70492,9.73996,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,85-89,6.95452,6.93676,6.97228,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,90plus,4.89809,4.87572,4.92046,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,lessthan1,78.77318,78.74554,78.80082,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,01-04,78.14532,78.11926,78.17139,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,05-09,74.20205,74.17623,74.22787,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,10-14,69.23677,69.21111,69.26243,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,15-19,64.27109,64.24557,64.29661,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,20-24,59.37614,59.35098,59.40129,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,25-29,54.53245,54.50776,54.55715,LE
gregorian-interval/2010-03-31T00:00:00/P3Y,K02000001,M,30-34,49.70274,49.67851,49.72698,LE
