Period,Code,Sex,age group,Healthy Life Expectancy (HLE) _,HLE Lower CI_,HLE Upper CI_,TransformationType
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,25-29,39.1267,38.7649,39.48851,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,30-34,34.76544,34.41435,35.11654,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,35-39,30.53582,30.19498,30.87666,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,40-44,26.47258,26.14339,26.80178,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,45-49,22.60339,22.28523,22.92155,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,50-54,18.96402,18.6589,19.26914,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,55-59,15.59501,15.30448,15.88555,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,60-64,12.50813,12.23029,12.78597,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,65-69,9.69601,9.42796,9.96405,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,70-74,7.1922,6.93522,7.44919,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,75-79,5.09329,4.84506,5.34153,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,80-84,3.4161,3.19386,3.63833,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,85-89,2.1956,2.01026,2.38094,HLE
gregorian-interval/2009-03-31T00:00:00/P3Y,W92000004,F,90plus,1.3736,1.19753,1.54967,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,lessthan1,63.15678,63.0042,63.30936,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,01-04,62.49668,62.34344,62.64992,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,05-09,58.71058,58.55833,58.86283,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,10-14,53.97026,53.81988,54.12064,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,15-19,49.2617,49.11347,49.40994,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,20-24,44.6468,44.50096,44.79263,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,25-29,40.14466,40.00148,40.28783,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,30-34,35.72327,35.58349,35.86305,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,35-39,31.4129,31.27639,31.54941,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,40-44,27.25962,27.12648,27.39276,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,45-49,23.29399,23.16427,23.42372,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,50-54,19.52611,19.40009,19.65214,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,55-59,16.01873,15.89697,16.14049,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,60-64,12.8388,12.72166,12.95593,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,65-69,9.98505,9.87124,10.09886,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,70-74,7.43712,7.32576,7.54847,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,75-79,5.29577,5.18406,5.40748,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,80-84,3.56724,3.46287,3.67162,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,85-89,2.30826,2.22158,2.39494,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,M,90plus,1.50103,1.41722,1.58485,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,lessthan1,64.04574,63.88349,64.208,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,01-04,63.343,63.18021,63.50579,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,05-09,59.59794,59.43643,59.75945,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,10-14,54.90511,54.74586,55.06437,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,15-19,50.24281,50.08607,50.39954,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,20-24,45.66966,45.51598,45.82335,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,25-29,41.18415,41.03355,41.33475,HLE
gregorian-interval/2010-03-31T00:00:00/P3Y,E92000001,F,30-34,36.77594,36.62874,36.92314,HLE
